en,lang
The book is on the table,kitab table te hai
The bowl is in the fridge,katori fridge vich hai
The doggy is under the table,doggy table de niche hai
The glass is next to the sink,glass sink de kol hai
The phone is on the bed,phone bistar te hai
The towel is under the bed,taulia bistar de niche hai
The laptop is on the sofa,laptop sofa te hai
The plate is in the sink,plate sink vich hai
The spoon is on the plate,chammach plate te hai
I'm sitting on the chair,main kursi te baithya hun
The book is on the chair,kitab kursi te hai
The doggy is under the sofa,doggy sofa de niche hai
