en,lang
"I need rest.",menu araam di lor hai.
"I want a glass of water.",menu ik glass paani chaida hai.
"I am hungry.",menu bhukh lag rahi hai.
"We are making tea.",asi cha bana rahe hain.
"She is cutting vegetables.",oh sabzian kaat rahi hai.
"I need to wash the dishes.",menu barttan dhona hai.
"Do you want dinner?",thuanu raat da khana chaida hai?
"The food is ready.",khana tayar hai.
"We are laying the table.",asi mez te barttan la rahe hain.
"The children are playing outside.",bacche baahar khed rahe hain.
"I want to sleep early.",menu jaldi sona hai.
