en,lang
"The clothes are on the line.",kapde taar te latke hain.
"The fan is on.",fan chal raha hai.
"The AC is off.",AC band hai.
"The laptop is on the bed.",laptop bistar te hai.
"The towel is in the bathroom.",taulia bathroom vich hai.
"I am in the kitchen.",mai kitchen vich hoon.
"Dad is at the shop.",papa dukaan te hai.
"The car is at the petrol pump.",gaddi petrol pump te hai.
"Your phone is on the sofa.",tuada phone sofa te hai.
"The medicine is in the fridge.",dawai fridge vich hai.
"The milk is on the stove.",doodh chule te hai.
